userID,itemID,age,gender,category,crowdedness,creationDate,knowledgeOfemaleemaleSurroundings,timeAvailable,season,daytime,mood,weather,emotionalStability,temperature,budget,agreeableness,opennessToExperience,transport,companion,travelGoal,distance,rating
317,1,0,2,1,0,3,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,5
717,1,0,2,1,0,3,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,5
1117,1,0,2,1,0,3,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,5
1517,1,0,2,1,0,3,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,5
1917,1,0,2,1,0,3,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,5
65,1,3,1,1,2,12,0,0,0,0,0,0,6,0,0,4,4,0,2,8,0,3
67,1,5,1,1,1,12,0,0,0,0,0,0,4,0,1,4,6,0,0,8,0,4
311,1,0,0,1,0,2,0,0,0,0,0,0,5,0,0,5,6,0,0,1,0,2
711,1,0,0,1,0,2,0,0,0,0,0,0,5,0,0,5,6,0,0,1,0,2
1111,1,0,0,1,0,2,0,0,0,0,0,0,5,0,0,5,6,0,0,1,0,2
1511,1,0,0,1,0,2,0,0,0,0,0,0,5,0,0,5,6,0,0,1,0,2
1911,1,0,0,1,0,2,0,0,0,0,0,0,5,0,0,5,6,0,0,1,0,2
106,1,3,2,1,0,4,0,0,0,5,0,0,6,0,0,4,5,0,0,8,0,2
1306,1,3,2,1,0,4,0,0,0,5,0,0,6,0,0,4,5,0,0,8,0,2
275,1,4,0,1,0,12,3,0,0,0,0,0,5,0,0,6,4,0,0,0,0,1
675,1,4,0,1,0,12,3,0,0,0,0,0,5,0,0,6,4,0,0,0,0,1
1075,1,4,0,1,0,12,3,0,0,0,0,0,5,0,0,6,4,0,0,0,0,1
1475,1,4,0,1,0,12,3,0,0,0,0,0,5,0,0,6,4,0,0,0,0,1
1875,1,4,0,1,0,12,3,0,0,0,0,0,5,0,0,6,4,0,0,0,0,1
276,1,3,1,1,0,12,0,0,0,0,0,0,5,0,0,6,5,0,0,0,0,2
676,1,3,1,1,0,12,0,0,0,0,0,0,5,0,0,6,5,0,0,0,0,2
1076,1,3,1,1,0,12,0,0,0,0,0,0,5,0,0,6,5,0,0,0,0,2
1476,1,3,1,1,0,12,0,0,0,0,0,0,5,0,0,6,5,0,0,0,0,2
1876,1,3,1,1,0,12,0,0,0,0,0,0,5,0,0,6,5,0,0,0,0,2
122,1,3,1,10,0,5,0,2,4,2,0,0,6,0,0,4,4,0,0,9,1,4
322,1,3,1,1,0,3,0,0,0,0,0,0,6,0,0,5,4,0,0,0,0,2
722,1,3,1,1,0,3,0,0,0,0,0,0,6,0,0,5,4,0,0,0,0,2
1122,1,3,1,1,0,3,0,0,0,0,0,0,6,0,0,5,4,0,0,0,0,2
